INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE
2025-04-21 07:00:00,2025-04-21 07:05:00,42.0302
2025-04-21 07:05:00,2025-04-21 07:10:00,39.82565
2025-04-21 07:10:00,2025-04-21 07:15:00,40.27433
2025-04-21 07:15:00,2025-04-21 07:20:00,39.30313
2025-04-21 07:20:00,2025-04-21 07:25:00,41.5005
2025-04-21 07:25:00,2025-04-21 07:30:00,38.37621
2025-04-21 07:30:00,2025-04-21 07:35:00,41.33268
2025-04-21 07:35:00,2025-04-21 07:40:00,38.28451
2025-04-21 07:40:00,2025-04-21 07:45:00,38.93351
2025-04-21 07:45:00,2025-04-21 07:50:00,37.03274
2025-04-21 07:50:00,2025-04-21 07:55:00,36.4162
2025-04-21 07:55:00,2025-04-21 08:00:00,34.99594
2025-04-21 08:00:00,2025-04-21 08:05:00,38.25942
2025-04-21 08:05:00,2025-04-21 08:10:00,37.79703
2025-04-21 08:10:00,2025-04-21 08:15:00,34.70089
2025-04-21 08:15:00,2025-04-21 08:20:00,33.04057
2025-04-21 08:20:00,2025-04-21 08:25:00,39.32151
2025-04-21 08:25:00,2025-04-21 08:30:00,39.90295
2025-04-21 08:30:00,2025-04-21 08:35:00,39.21466
2025-04-21 08:35:00,2025-04-21 08:40:00,40.1253
2025-04-21 08:40:00,2025-04-21 08:45:00,40.10392
2025-04-21 08:45:00,2025-04-21 08:50:00,40.03882
2025-04-21 08:50:00,2025-04-21 08:55:00,41.40289
2025-04-21 08:55:00,2025-04-21 09:00:00,41.64928
2025-04-21 09:00:00,2025-04-21 09:05:00,41.68365
2025-04-21 09:05:00,2025-04-21 09:10:00,40.18596
2025-04-21 09:10:00,2025-04-21 09:15:00,39.11592
2025-04-21 09:15:00,2025-04-21 09:20:00,39.57014
2025-04-21 09:20:00,2025-04-21 09:25:00,39.64658
2025-04-21 09:25:00,2025-04-21 09:30:00,39.64942
2025-04-21 09:30:00,2025-04-21 09:35:00,38.37061
2025-04-21 09:35:00,2025-04-21 09:40:00,38.57484
2025-04-21 09:40:00,2025-04-21 09:45:00,39.079
2025-04-21 09:45:00,2025-04-21 09:50:00,39.71599
2025-04-21 09:50:00,2025-04-21 09:55:00,39.91499
2025-04-21 09:55:00,2025-04-21 10:00:00,40.46298
2025-04-21 10:00:00,2025-04-21 10:05:00,35.55646
2025-04-21 10:05:00,2025-04-21 10:10:00,34.9146
2025-04-21 10:10:00,2025-04-21 10:15:00,35.10777
2025-04-21 10:15:00,2025-04-21 10:20:00,34.39838
2025-04-21 10:20:00,2025-04-21 10:25:00,36.31454
2025-04-21 10:25:00,2025-04-21 10:30:00,36.07536
2025-04-21 10:30:00,2025-04-21 10:35:00,35.40589
2025-04-21 10:35:00,2025-04-21 10:40:00,35.37728
2025-04-21 10:40:00,2025-04-21 10:45:00,35.44017
2025-04-21 10:45:00,2025-04-21 10:50:00,35.63918
2025-04-21 10:50:00,2025-04-21 10:55:00,36.79692
2025-04-21 10:55:00,2025-04-21 11:00:00,36.90996
2025-04-21 11:00:00,2025-04-21 11:05:00,34.17948
2025-04-21 11:05:00,2025-04-21 11:10:00,35.13941
2025-04-21 11:10:00,2025-04-21 11:15:00,33.20081
2025-04-21 11:15:00,2025-04-21 11:20:00,32.91571
2025-04-21 11:20:00,2025-04-21 11:25:00,37.55811
2025-04-21 11:25:00,2025-04-21 11:30:00,38.00416
2025-04-21 11:30:00,2025-04-21 11:35:00,36.90469
2025-04-21 11:35:00,2025-04-21 11:40:00,37.10608
2025-04-21 11:40:00,2025-04-21 11:45:00,36.3712
2025-04-21 11:45:00,2025-04-21 11:50:00,36.26333
2025-04-21 11:50:00,2025-04-21 11:55:00,35.19
2025-04-21 11:55:00,2025-04-21 12:00:00,38.3036
2025-04-21 12:00:00,2025-04-21 12:05:00,22.07583
2025-04-21 12:05:00,2025-04-21 12:10:00,22.23752
2025-04-21 12:10:00,2025-04-21 12:15:00,29.41468
2025-04-21 12:15:00,2025-04-21 12:20:00,29.27498
2025-04-21 12:20:00,2025-04-21 12:25:00,33.04342
2025-04-21 12:25:00,2025-04-21 12:30:00,31.38355
2025-04-21 12:30:00,2025-04-21 12:35:00,31.91518
2025-04-21 12:35:00,2025-04-21 12:40:00,31.60004
2025-04-21 12:40:00,2025-04-21 12:45:00,32.60836
2025-04-21 12:45:00,2025-04-21 12:50:00,32.48861
2025-04-21 12:50:00,2025-04-21 12:55:00,32.61569
2025-04-21 12:55:00,2025-04-21 13:00:00,36.9409
2025-04-21 13:00:00,2025-04-21 13:05:00,30.62416
2025-04-21 13:05:00,2025-04-21 13:10:00,32.74212
2025-04-21 13:10:00,2025-04-21 13:15:00,31.45893
2025-04-21 13:15:00,2025-04-21 13:20:00,31.62521
2025-04-21 13:20:00,2025-04-21 13:25:00,32.59389
2025-04-21 13:25:00,2025-04-21 13:30:00,32.24063
2025-04-21 13:30:00,2025-04-21 13:35:00,31.64543
2025-04-21 13:35:00,2025-04-21 13:40:00,31.31513
2025-04-21 13:40:00,2025-04-21 13:45:00,28.66266
2025-04-21 13:45:00,2025-04-21 13:50:00,22.45544
2025-04-21 13:50:00,2025-04-21 13:55:00,21.66396
2025-04-21 13:55:00,2025-04-21 14:00:00,21.73347
2025-04-21 14:00:00,2025-04-21 14:05:00,27.93398
2025-04-21 14:05:00,2025-04-21 14:10:00,27.61591
2025-04-21 14:10:00,2025-04-21 14:15:00,22.38964
2025-04-21 14:15:00,2025-04-21 14:20:00,21.44284
2025-04-21 14:20:00,2025-04-21 14:25:00,10.23462
2025-04-21 14:25:00,2025-04-21 14:30:00,5.38311
2025-04-21 14:30:00,2025-04-21 14:35:00,3.9823
2025-04-21 14:35:00,2025-04-21 14:40:00,0.26872
2025-04-21 14:40:00,2025-04-21 14:45:00,-1.43519
2025-04-21 14:45:00,2025-04-21 14:50:00,-5.37234
2025-04-21 14:50:00,2025-04-21 14:55:00,-6.13575
2025-04-21 14:55:00,2025-04-21 15:00:00,-6.50073
2025-04-21 15:00:00,2025-04-21 15:05:00,-7.61568
2025-04-21 15:05:00,2025-04-21 15:10:00,-6.45541
2025-04-21 15:10:00,2025-04-21 15:15:00,-7.7047
2025-04-21 15:15:00,2025-04-21 15:20:00,-8.02762
2025-04-21 15:20:00,2025-04-21 15:25:00,-8.47658
2025-04-21 15:25:00,2025-04-21 15:30:00,-8.58756
2025-04-21 15:30:00,2025-04-21 15:35:00,-6.60029
2025-04-21 15:35:00,2025-04-21 15:40:00,-6.59968
2025-04-21 15:40:00,2025-04-21 15:45:00,-6.60617
2025-04-21 15:45:00,2025-04-21 15:50:00,-10.91011
2025-04-21 15:50:00,2025-04-21 15:55:00,-10.10865
2025-04-21 15:55:00,2025-04-21 16:00:00,-9.64793
2025-04-21 16:00:00,2025-04-21 16:05:00,-3.89963
2025-04-21 16:05:00,2025-04-21 16:10:00,-1.64203
2025-04-21 16:10:00,2025-04-21 16:15:00,-2.08559
2025-04-21 16:15:00,2025-04-21 16:20:00,-2.13751
2025-04-21 16:20:00,2025-04-21 16:25:00,-3.03677
2025-04-21 16:25:00,2025-04-21 16:30:00,-4.51091
2025-04-21 16:30:00,2025-04-21 16:35:00,-4.33318
2025-04-21 16:35:00,2025-04-21 16:40:00,-5.51917
2025-04-21 16:40:00,2025-04-21 16:45:00,-6.7219
2025-04-21 16:45:00,2025-04-21 16:50:00,-6.72294
2025-04-21 16:50:00,2025-04-21 16:55:00,-6.72547
2025-04-21 16:55:00,2025-04-21 17:00:00,-6.7229
2025-04-21 17:00:00,2025-04-21 17:05:00,-3.77909
2025-04-21 17:05:00,2025-04-21 17:10:00,-4.04321
2025-04-21 17:10:00,2025-04-21 17:15:00,-4.03183
2025-04-21 17:15:00,2025-04-21 17:20:00,-3.71802
2025-04-21 17:20:00,2025-04-21 17:25:00,-3.59399
2025-04-21 17:25:00,2025-04-21 17:30:00,-3.7868
2025-04-21 17:30:00,2025-04-21 17:35:00,-4.0182
2025-04-21 17:35:00,2025-04-21 17:40:00,-4.01972
2025-04-21 17:40:00,2025-04-21 17:45:00,-3.95299
2025-04-21 17:45:00,2025-04-21 17:50:00,-4.80183
2025-04-21 17:50:00,2025-04-21 17:55:00,-4.97182
2025-04-21 17:55:00,2025-04-21 18:00:00,-5.63714
2025-04-21 18:00:00,2025-04-21 18:05:00,-3.67132
2025-04-21 18:05:00,2025-04-21 18:10:00,-3.7782
2025-04-21 18:10:00,2025-04-21 18:15:00,-3.64017
2025-04-21 18:15:00,2025-04-21 18:20:00,-3.70551
2025-04-21 18:20:00,2025-04-21 18:25:00,-3.70258
2025-04-21 18:25:00,2025-04-21 18:30:00,-4.05108
2025-04-21 18:30:00,2025-04-21 18:35:00,-3.66336
2025-04-21 18:35:00,2025-04-21 18:40:00,-3.85035
2025-04-21 18:40:00,2025-04-21 18:45:00,-4.05642
2025-04-21 18:45:00,2025-04-21 18:50:00,-3.87757
2025-04-21 18:50:00,2025-04-21 18:55:00,-3.89931
2025-04-21 18:55:00,2025-04-21 19:00:00,-4.02961
2025-04-21 19:00:00,2025-04-21 19:05:00,-3.76661
2025-04-21 19:05:00,2025-04-21 19:10:00,-2.93216
2025-04-21 19:10:00,2025-04-21 19:15:00,-3.30835
2025-04-21 19:15:00,2025-04-21 19:20:00,-2.71929
