INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2025-04-21T07:00:00-00:00,2025-04-21T07:05:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T07:05:00-00:00,2025-04-21T07:10:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T07:10:00-00:00,2025-04-21T07:15:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T07:15:00-00:00,2025-04-21T07:20:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T07:20:00-00:00,2025-04-21T07:25:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T07:25:00-00:00,2025-04-21T07:30:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T07:30:00-00:00,2025-04-21T07:35:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T07:35:00-00:00,2025-04-21T07:40:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T07:40:00-00:00,2025-04-21T07:45:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T07:45:00-00:00,2025-04-21T07:50:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T07:50:00-00:00,2025-04-21T07:55:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T07:55:00-00:00,2025-04-21T08:00:00-00:00,2025-04-21,01,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T08:00:00-00:00,2025-04-21T08:05:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T08:05:00-00:00,2025-04-21T08:10:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T08:10:00-00:00,2025-04-21T08:15:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T08:15:00-00:00,2025-04-21T08:20:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T08:20:00-00:00,2025-04-21T08:25:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T08:25:00-00:00,2025-04-21T08:30:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T08:30:00-00:00,2025-04-21T08:35:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T08:35:00-00:00,2025-04-21T08:40:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T08:40:00-00:00,2025-04-21T08:45:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T08:45:00-00:00,2025-04-21T08:50:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T08:50:00-00:00,2025-04-21T08:55:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T08:55:00-00:00,2025-04-21T09:00:00-00:00,2025-04-21,02,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
